Track0,Track1,Track2,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Track17,Track18,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,DistanceFromStartLine,DistanceRaced,Damage,Accelerate,Brake,Steering,Gear
6.92336,6.94691,7.18983,7.69256,8.55019,9.96379,12.3884,17.0574,28.7777,101.867,38.4386,14.7473,9.29866,6.94405,5.67865,4.93005,4.476,4.21582,4.10202,-0.255895,-0.0678603,6980.24,234.437,-8.63843,3562.54,15155.7,0.0,1.0,0.0,0.0,6
6.43186,6.46766,6.70886,7.19585,8.0219,9.38431,11.7336,16.3132,28.1593,115.669,38.5671,15.8235,10.1476,7.63946,6.27841,5.47007,4.98019,4.70197,4.58514,-0.167625,-0.0555484,6991.44,235.233,-0.501762,3572.97,15166.2,0.0,1.0,0.0,0.0,6
5.79515,5.82938,6.04892,6.49056,7.23905,8.47371,10.6046,14.7666,25.5859,107.988,43.2181,17.9041,11.5113,8.67687,7.13647,6.22108,5.66641,5.35186,5.22068,-0.0521489,-0.0536134,7020.96,236.083,0.0502147,3584.74,15177.9,0.0,1.0,0.0,0.0,6
5.22965,5.26047,5.4585,5.85694,6.53223,7.64615,9.56857,13.3231,23.0812,97.3054,47.931,19.8487,12.7603,9.6178,7.91011,6.89532,6.28043,5.9317,5.78623,0.0505255,-0.053693,7038.21,236.876,0.00311477,3595.23,15188.4,0.0,1.0,0.0,0.0,6
4.66276,4.69023,4.86678,5.22201,5.82408,6.8172,8.53115,11.8785,20.5778,86.7338,52.6333,21.7944,14.0109,10.5603,8.6852,7.57094,6.89578,6.51287,6.35312,0.153447,-0.0537078,7054.62,237.692,2.53609E-4,3605.76,15198.9,0.0,1.0,0.0,0.0,6
4.09395,4.11806,4.27307,4.58497,5.11359,5.98556,7.49042,10.4294,18.0675,76.1516,57.346,23.7457,15.2653,11.5058,9.46282,8.2488,7.51319,7.09599,6.92194,0.25672,-0.0537087,7078.56,238.492,8.26281E-4,3616.33,15209.5,0.0,1.0,0.0,-0.30000001192092896,6
3.6414,3.70359,3.88814,4.22721,4.79055,5.72791,7.40092,10.9233,22.1263,198.387,40.2744,20.9852,14.4869,11.3243,9.53287,8.45255,7.80518,7.46047,7.35907,0.337956,0.0092147,7105.43,238.749,7.36787,3626.93,15220.1,0.0,1.0,0.0,0.0,6
3.6014,3.66505,3.85008,4.18882,4.75121,5.68764,7.36244,10.9049,22.3246,186.589,39.787,20.9152,14.4848,11.3423,9.5589,8.48285,7.83862,7.49706,7.39946,0.345251,0.0125182,7109.73,239.509,1.26874,3637.56,15230.7,0.0,1.0,0.0,0.0,6
3.6998,3.76335,3.95129,4.29639,4.86966,5.82367,7.52697,11.1159,22.5561,177.193,39.8359,20.7879,14.3585,11.2272,9.45293,8.38287,7.74174,7.40061,7.30073,0.327342,0.00977022,7029.24,239.728,0.00674621,3648.22,15241.4,0.0,0.0,0.0,0.0,6
3.80449,3.87035,4.0642,4.41985,5.01058,5.99377,7.74998,11.4541,23.297,166.287,39.111,20.4499,14.1351,11.0568,9.31179,8.25927,7.62878,7.29362,7.19611,0.308312,0.0105031,6976.13,237.924,0.0920101,3658.83,15252.0,0.0,0.0,0.6000000238418579,0.0,6
3.89859,3.96656,4.16576,4.53098,5.13749,6.14711,7.95129,11.7603,23.9723,156.956,38.4589,20.1458,13.9341,10.9035,9.18489,8.14816,7.52724,7.19746,7.1021,0.291209,0.0111888,6491.35,227.178,0.125386,3667.9,15261.1,0.0,0.0,0.6000000238418579,0.0,6
4.00661,4.07723,4.28286,4.65943,5.28465,6.32564,8.18715,12.1231,24.7981,146.793,37.6585,19.7831,13.6974,10.7243,9.03729,8.01944,7.41001,7.08679,6.99422,0.271581,0.012265,6311.02,215.26,0.160195,3677.68,15270.9,0.0,0.0,0.0,0.0,6
4.13671,4.2102,4.42316,4.81285,5.45975,6.53702,8.46431,12.5437,25.7217,135.822,36.8112,19.3765,13.4257,10.5157,8.86376,7.86698,7.27029,6.95414,6.86422,0.247934,0.0130199,6263.25,213.591,0.0865759,3688.4,15281.6,0.0,0.0,0.0,0.0,6
4.2592,4.33538,4.55526,4.9573,5.62464,6.73609,8.72539,12.94,26.5934,126.15,36.0263,18.9969,13.1712,10.32,8.70084,7.72372,7.13892,6.82934,6.74183,0.225672,0.0136951,6220.4,212.137,0.0857596,3697.86,15291.0,0.0,0.0,0.0,0.0,6
4.38783,4.46684,4.69399,5.10903,5.79783,6.94521,8.99969,13.3566,27.5109,116.555,35.2142,18.6015,12.9054,10.1152,8.53019,7.57354,7.00111,6.69835,6.61331,0.202295,0.0143712,6270.78,210.924,0.082318,3707.26,15300.4,0.0,0.0,0.0,0.0,6
