Track5,Track7,Track9,Track11,Track13,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,Accelerate,Brake,Steering,Gear
10.8794,20.8106,160.908,11.6183,6.31501,-0.247314,0.0179257,6160.26,207.314,7.87637E-5,1.0,0.0,0.0,6
11.0124,20.9493,153.977,11.4017,6.167,-0.2678,0.0145187,6183.11,208.105,3.83268E-5,1.0,0.0,0.0,6
11.0994,21.0549,147.625,11.2617,6.06365,-0.28267,0.0114145,6203.79,208.826,3.92779E-5,1.0,0.0,0.0,6
11.154,21.2036,141.267,11.1677,5.99155,-0.293723,0.00832831,6225.26,209.542,1.11942E-4,1.0,0.0,0.0,6
11.2188,21.4096,134.839,11.0376,5.93666,-0.301802,0.00526261,6244.99,210.253,5.92293E-5,1.0,0.0,0.0,6
11.3101,21.6703,128.381,10.8613,5.86306,-0.308638,0.00671735,6267.96,210.955,-6.87103E-5,1.0,0.0,0.0,6
11.425,21.9787,121.91,10.6462,5.76693,-0.318093,0.00910681,6289.1,211.657,-3.55967E-5,1.0,0.0,0.0,6
11.5636,22.3373,115.435,10.3938,5.64914,-0.330123,0.0115046,6309.53,212.357,7.01524E-5,1.0,0.0,0.0,6
11.7266,22.7474,108.961,10.1029,5.51005,-0.34486,0.0139106,6330.02,213.054,3.09631E-5,1.0,0.0,0.0,6
11.8747,23.1129,103.777,9.84272,5.38281,-0.358532,0.0158404,6346.39,213.608,3.72675E-5,1.0,0.0,0.30000001192092896,6
11.6292,21.6827,140.934,10.3234,5.42444,-0.373446,-0.0105244,6369.62,214.013,-2.06802,1.0,0.0,0.0,6
10.9208,19.1935,200.0,12.0979,5.91757,-0.351252,-0.0518025,6380.8,214.576,-4.56093,1.0,0.0,0.0,6
10.6301,18.8333,200.0,12.6748,6.27477,-0.306463,-0.0455846,6395.73,215.276,-0.959057,1.0,0.0,0.0,6
10.2738,18.3043,200.0,13.3938,6.68602,-0.256747,-0.0412923,6415.71,215.96,-0.0847964,1.0,0.0,-0.30000001192092896,6
10.8967,21.6713,87.4429,11.4712,6.39074,-0.227228,0.0285342,6445.95,216.001,6.87722,1.0,0.0,0.0,6
11.6031,24.8298,56.8145,10.2762,6.00243,-0.244806,0.0653093,6442.08,216.412,6.8669,1.0,0.0,0.0,6
12.0802,25.6622,54.7854,9.57648,5.57241,-0.301092,0.0623566,6450.3,217.118,1.52865,1.0,0.0,0.30000001192092896,6
12.481,25.6656,58.169,8.9255,5.0997,-0.370117,0.0480634,6470.53,217.642,-0.331834,1.0,0.0,0.30000001192092896,6
11.4322,20.148,200.0,10.9046,5.37344,-0.406738,-0.0462881,6505.81,217.203,-11.5244,1.0,0.0,0.0,6
10.7946,18.0282,190.355,13.0399,5.86244,-0.39002,-0.0888611,6490.06,217.337,-11.4679,1.0,0.0,0.0,6
10.3556,17.4341,200.0,14.0793,6.43096,-0.324214,-0.0819076,6480.0,218.074,-3.18597,1.0,0.0,0.0,6
